18:35:14
2024-05-22 18:34:33 - CPU: 1.0%, Memory: 0.67%
2024-05-22 18:37:02 - CPU: 3.0%, Memory: 0.84%
2024-05-22 18:37:04 - CPU: 3.0%, Memory: 0.84%
2024-05-22 18:37:06 - CPU: 2.0%, Memory: 0.84%
2024-05-22 18:37:08 - CPU: 3.0%, Memory: 0.84%
2024-05-22 18:37:10 - CPU: 4.0%, Memory: 0.84%
2024-05-22 18:37:12 - CPU: 3.0%, Memory: 0.84%
2024-05-22 18:37:14 - CPU: 4.0%, Memory: 0.84%
2024-05-22 18:37:16 - CPU: 2.0%, Memory: 0.84%
2024-05-22 18:37:18 - CPU: 1.0%, Memory: 0.84%
2024-05-22 18:37:20 - CPU: 0.0%, Memory: 0.84%
2024-05-22 18:37:22 - CPU: 2.0%, Memory: 0.84%
2024-05-22 18:37:24 - CPU: 2.0%, Memory: 0.84%
2024-05-22 18:37:26 - CPU: 1.0%, Memory: 0.84%
2024-05-22 18:37:28 - CPU: 1.0%, Memory: 0.84%
2024-05-22 18:37:30 - CPU: 1.0%, Memory: 0.84%
2024-05-22 18:37:32 - CPU: 1.0%, Memory: 0.84%
2024-05-22 18:37:34 - CPU: 1.0%, Memory: 0.84%
2024-05-22 18:37:36 - CPU: 1.0%, Memory: 0.84%
2024-05-22 18:37:38 - CPU: 2.0%, Memory: 0.84%
2024-05-22 18:37:40 - CPU: 0.0%, Memory: 0.84%
2024-05-22 18:37:42 - CPU: 1.0%, Memory: 0.84%
2024-05-22 18:37:44 - CPU: 3.0%, Memory: 0.84%
2024-05-22 18:37:46 - CPU: 2.0%, Memory: 0.84%
2024-05-22 18:37:48 - CPU: 0.0%, Memory: 0.84%
2024-05-22 18:37:50 - CPU: 1.0%, Memory: 0.84%
2024-05-22 18:37:52 - CPU: 0.0%, Memory: 0.84%
2024-05-22 18:37:54 - CPU: 3.0%, Memory: 0.84%
2024-05-22 18:37:56 - CPU: 2.0%, Memory: 0.84%
2024-05-22 18:37:58 - CPU: 1.0%, Memory: 0.84%
2024-05-22 18:38:00 - CPU: 1.0%, Memory: 0.84%
2024-05-22 18:38:02 - CPU: 1.0%, Memory: 0.84%
2024-05-22 18:38:04 - CPU: 1.0%, Memory: 0.84%
2024-05-22 18:38:06 - CPU: 1.0%, Memory: 0.84%
2024-05-22 18:38:08 - CPU: 1.0%, Memory: 0.84%
2024-05-22 18:38:10 - CPU: 2.0%, Memory: 0.84%
2024-05-22 18:38:12 - CPU: 1.0%, Memory: 0.84%
